"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"Tcf7"	1.32139101229571	1.20659040383174	12.8827758329202	0.000331620013728134	0.00600335674416331
"Tbc1d4"	1.32118566419938	3.22487553541368	19.7423132640392	8.86173972761861e-06	0.000403758973575148
"Aifm2"	1.31241234566142	-0.374170038343385	14.1217073127234	0.000171354900189168	0.00375956867128572
"Flt3"	1.31038223296317	1.45087584877792	19.6053543436868	9.52020261105522e-06	0.000427518738836019
"Hmox1"	1.26622453957918	2.67136869482304	10.8944726784655	0.000964516436665484	0.0127553211814957
"Agap1"	1.2496810978995	0.280890081653635	11.7520262914458	0.000607770356871595	0.0092365021573073
"Il1a"	1.24528078876489	-0.739196808979771	8.23257460602268	0.00411451199859184	0.0348241137562173
"Maoa"	1.24131754038945	-0.689829341495741	9.63970776651729	0.0019041552912903	0.0205749003939693
"Rora"	1.23324226251401	-0.783578021835208	8.71309797105222	0.00315931865462029	0.0285844982261651
"Socs2"	1.23280560154399	1.30803565546852	17.4941404971423	2.88194529537064e-05	0.000993406434853764
"Zfp366"	1.22121103051572	-0.379415916605192	10.1378374645717	0.00145256472992538	0.0169363434818307
"Insrr"	1.21834366575072	-0.473759870764172	11.9091774696034	0.000558580593972287	0.00867328375018661
"Adam23"	1.21809097582007	0.629434513322406	10.2351428998961	0.00137789937681441	0.0163514218822729
"Samd15"	1.2089137845493	-0.229558865441037	9.55518964745553	0.00199384912438123	0.0212020549137779
"Mmp14"	1.20820437152385	-0.581187495977596	10.4850170105058	0.00120346509965323	0.0148513040598718
"Cd1d2"	1.20754131398858	-1.49172442950382	9.11887004458775	0.00252986178799033	0.024732023932084
"Rgs10"	1.20231275605947	3.05216505214271	43.415052761966	4.42768972329433e-11	1.97411708948594e-08
"Lrrc49"	1.20142866021347	-0.815723445245635	9.36943977823643	0.00220632941433753	0.0224847480886446
"Chga"	1.20034157212069	0.297837653466649	12.7366033217694	0.000358568305120552	0.0063765907708333
"Sema6d"	1.19737525824623	2.14186094598601	9.48487214994108	0.00207173050791366	0.021643082561334
"Ahrr"	1.1913311217486	2.47036807407633	49.8358145258043	1.67164596279151e-12	1.15937934441606e-09
"Cx3cl1"	1.18714947219023	-1.1631725410815	8.07607658227236	0.00448534515613822	0.0368778387713678
"Adgrg6"	1.18406515923641	0.225347804434889	10.1592559133444	0.00143578558657771	0.0168145846743303
"Il7r"	1.17318508542685	1.42236897297385	9.33599546032351	0.00224695999107637	0.0228057305110549
"Ptafr"	1.17097201566202	-0.131944460271327	7.84920159833762	0.00508431558211048	0.0399701484427376
"Crip2"	1.15530118982794	-0.84752316475276	7.85198438826673	0.00507649561916898	0.0399338193507912
"Tnfrsf11a"	1.14983356674808	0.0650136507414129	7.92309801802489	0.00488076261424971	0.038809834698276
"Gpnmb"	1.14497076476776	3.67165000701963	7.34327755775716	0.00673139972047427	0.0480502243718956
"Sh3bp4"	1.13856388194557	-0.370113388117511	7.42663288893888	0.00642654808009452	0.0467262820220734
"Lpl"	1.13641782453417	2.26728398342188	12.0772377601012	0.000510411631338558	0.00818705736466895
"Spp1"	1.13356667409011	0.474382656474342	13.3719777970881	0.000255411868433986	0.00496379380822307
"Nphp1"	1.12998702457955	-0.952910205292117	7.94692072748382	0.00481692664710419	0.0384246084744082
"Rgs1"	1.12804430228619	1.71226158900312	8.64598893106082	0.00327782172905914	0.0292508254009564
"2900093K20Rik"	1.11549906905217	-0.51023523744687	8.92505837599667	0.00281284368099539	0.0266496478057098
"Naa38"	1.1106784743743	-0.282144801470218	12.0616826934119	0.000514688139742147	0.00822241068636463
"Adgrl2"	1.10653640800329	2.05047420371233	9.36580059786263	0.00221071417817371	0.0225110569333773
"Fahd1"	1.10140007617226	0.732430738137247	17.0773105388192	3.58885197734897e-05	0.00115175393535282
"Il15"	1.09801745176604	-0.62808388950937	8.88165887531628	0.0028804969617218	0.0269970901427439
"Lgals3"	1.08949067331778	4.23721683791868	10.0792665587208	0.00149947008174873	0.0173327634264362
"Itgax"	1.07513251674669	0.688742926362727	10.7600211417554	0.00103716198341828	0.0135438600428805
"D630045J12Rik"	1.0744276002575	-0.871548240760519	8.7324132869605	0.00312602474076556	0.0284856152289907
"Dnajc12"	1.06710841350898	-0.401729761488439	8.24388776877259	0.00408894565121166	0.0346547165714368
"Lipg"	1.05558854775717	-0.408132426683571	8.36647992054465	0.0038220523540281	0.0328386108655794
"Ier5l"	1.05507947535113	0.498290191502592	10.4169507034521	0.00124863892847706	0.0151619606470911
"BC030867"	1.0546293932829	1.69724147246491	24.8703079198015	6.13196462717651e-07	5.33375275934438e-05
"Bend4"	1.05383908373212	0.277295604756487	11.3961651487146	0.000735958741108882	0.0105661460991779
